id,patron_id,firstname,lastname,email,password
,jhodgrob,Joel,Robinson,robotfriends@sol.com,#k#eJH85?gkJC6&3
,doctorevil,Clayton,Forrestor,obeyme@deep13.com,7Li8k3b@x$LkQFBM
,artfuldodger,Crow,Robot,arthurgold@sol.com,CkH9#?ek4qKTPh$5
,richardb,J.,Weinstein,hiddengypsy@mst3k.net,5!nRBJKKxkTpbEXH
,weathernine,Tom,Servo,smoothtalker@sol.com,x#SD9x8geA#Nh4C3
,dontlook,Laurence,Erhardt,irminion@deep13.com,PJJMiY#L&8?afcN7
,ramchips,Jim,Mallon,rbayhart@gsnail.com,ndQeffX#3&mPMy7F
,sonofcoco,Kevin,Murphy,professorbobo@castlef.com,YjSNS4#bpjoPeeY@
,hitthebutton,Frank,Conniff,mybeautifulhair@deep13.com,5S46#BT6!TG6t738
,torgotheme,Mike,Nelson,getmedown@sol.com,7jkFakbd5mFdA?@&
,cheezits,Pearl,Forrestor,imincharge@castlef.com,jJn!@7BC9yfrh#Ce
,observer,Bill,Corbett,brainguy@castlef.com,C5pDf#MgGhj5i&7G
